《中药大辞典》：阿尔泰紫菀,【拼音名】ā ěr Tài Zǐ Wǎn,【别名】燥原蒿、铁杆蒿,【来源】药材基源：为菊科植物阿尔泰狗娃花的根、花或全草。,【性味】味微苦；性凉,【功能主治】清热降火；排脓止咳。主热病；肝胆火旺；肺脓疡；咳吐脓血；膀胱炎；疱疹疮疖,【用法用量】内服：煎汤，5-10g。外用：适量，捣敷。,【摘录】《中华本草》
《中药大辞典》：巴茅果,【拼音名】Bā Máo Guǒ,【别名】牛草果,【来源】为禾本科植物五节芒根茎部叶鞘内的虫瘿。虫瘿全年均可采集。,【性味】性温，味辛。,【功能主治】顺气，发表，除瘀。,[],【摘录】《中药大辞典》
《中药大辞典》：巴山虎,【拼音名】Bā Shān Hǔ,【别名】金扣钮根（《陆川本草》），细钮扣根、扣子头（《南宁市药物志》），紫花茄根（《福建中草药》）。,【来源】为茄科植物紫花茄的根。全年可采。,【性味】苦，平。,"③广州空军《常用中草药手册》：""散瘀消肿，消炎止痛。治咽炎，扁桃体炎，淋巴结炎，胃痛。""",【用法用量】内服：煎汤，2～5钱。外用：捣敷。,【摘录】《中药大辞典》
《中药大辞典》：巴豆油,【拼音名】Bā Dòu Yóu,[],【来源】药材基源：为大戟科植物巴豆Croton tiglium L.种仁的脂肪油。,【性味】辛；热；有毒,【功能主治】通关开窍；峻下寒积。主厥证；喉痹；寒积腹痛,【用法用量】外用：纸包巴豆压取油作胝捻搐鼻；或点燃巴豆油纸后吹灭，以油烟熏。,【摘录】《中华本草》
《中国药典》：巴豆,【拼音名】Bā Dòu,【别名】巴菽、刚子、江子、老阳子、双眼龙、猛子仁、巴果、双眼虾、红子仁、巴贡、巴米、毒鱼子、銮豆、贡仔、八百力、巴仁、芒子、药子仁、芦麻子、腊盘子、大风子、泻果。,【来源】药材基源：为大戟科植物巴豆的种子。,【性味】辛；热；大毒,【功能主治】泻下寒积；逐水退肿；祛痰利咽；蚀疮杀虫。主寒邪食积所致的胸腹胀满急痛；大便不通；泄泻痢疾；水肿腹大；痰饮喘满；喉风喉痹；痈疽；恶疮疥癣,【用法用量】内服：巴豆霜入丸、散，0.1-0.3g。外用：适量，捣膏涂；或以纱包擦患处。,【摘录】《中华本草》
《中药大辞典》：巴豆树根,【拼音名】Bā Dòu Shù Gēn,【别名】大叶双眼龙根、挡蛇剑、独行千里。,【来源】药材基源：为大戟科植物巴豆Croton tiglium L.的树根。,【性味】辛；温；有毒,【功能主治】温中散寒；祛风镇痛；杀虫解毒。主胃痛；寒湿痹 痛；牙痛；外伤肿痛；痈疽疔疮；毒蛇咬伤,【用法用量】内服：煎汤，3-6g。外用：适量，捣敷；煎水熏洗，酒浸或研末调敷。,【摘录】《中华本草》
《中药大辞典》：八仙花,【拼音名】Bā Xiān Huā,【别名】粉团花、紫阳花（《现代实用中药》）。,【来源】为虎耳草科植物绣球的根、叶、花。春、夏季采收。,"【性味】《四川常用中草药》：""苦微辛，寒，有小毒。""","①《四川常用中草药》：""治疟疾，心热惊悸，烦躁。""",【用法用量】内服：煎汤，3～4钱。外用：水煎洗或磨汁涂。,【摘录】《中药大辞典》
《中药大辞典》：巴豆叶,【拼音名】Bā Dòu Yè,【别名】双眼龙叶、大叶双眼龙叶。,【来源】药材基源：为大戟科植物巴豆Croton tiglium L.的叶。,【性味】辛；温；有毒,【功能主治】祛风活血；杀虫解毒。主疟疾；痹证；跌打损伤；缠腰火丹；疮癣；蛇伤,【用法用量】内服：研末酒冲，或胶囊装，0.03-0.15g。外用：适量，煎水洗，或浸酒搽。,【摘录】《中华本草》
《中药大辞典》：巴豆壳,【拼音名】Bā Dòu Ké,【别名】巴豆皮。,【来源】药材基源：为大戟科植物巴豆Croton tiglium L.的种皮。,【性味】辛；温,【功能主治】温中消积，解毒杀虫。主泄泻；痢疾；腹部胀痛；瘰疬痰核,【用法用量】内服：适量，烧灰存性，入丸、散。外用：适量，捣敷。,【摘录】《中华本草》
《中国药典》：巴戟天,【拼音名】Bā Jǐ Tiān,【别名】巴戟、巴吉天、戟天、巴戟肉、鸡肠风、猫肠筋、兔儿肠,【来源】药材基源：为双子叶植物药茜草科植物巴戟天的根。,【性味】辛甘；温,【功能主治】补肾助阳；强筋壮骨；祛风除湿。主肾虚阳痿；遗精早泄；少腹冷痛；小便不禁；宫冷不孕；风寒湿痹；腰膝酸软；风湿肢气,【用法用量】内服：煎汤，6-15g；或入丸、散；亦可浸酒或熬膏。,【摘录】《中华本草》
