伽果·《中华本草》,【拼音】Gā Guǒ,[],【来源】药材基源：为海桑科植物杯萼海桑的发酵果汁。,[],【功能主治】止血。主多种出血证,【用法用量】内服：10-15ml。,【摘录】《中华本草》
干蟾·《全国中草药汇编》,【拼音】Gān Chán,【别名】癞蛤蟆、蟾蜍皮,【来源】蟾蜍科动物中华大蟾蜍 Bufo bufo gargarizans Cantor或黑眶蟾蜍B. melanostictus Schneider，除去内脏或不去内脏的干燥全体。,【性味】甘、辛，凉。有小毒。,【功能主治】消肿解毒，止痛，利尿。用于慢性气管炎，痈疖疔疮，咽喉肿痛，水肿，小便不利。,【用法用量】2～3钱；研粉用量0.3～1钱。,【摘录】《全国中草药汇编》
伽喃香·《中药大辞典》,【拼音】Gā Nán Xiānɡ,【别名】奇南香（《本草乘雅半偈》），琪喃（《宦游笔记》），奇楠（《纲目拾遗》）。,【来源】为瑞香科植物沉香或白木香近根部的含有多量树脂的木材。选取沉香中油性（树脂）足、体质重而性糯的木材条块，削去其含油少而色淡的部分。,【性味】辛甘，温。,【功能主治】理气，止痛，通窍。治胸闷不舒，气滞疼痛，风痰闭塞。功胜沉香。,【用法用量】内服：锉末或磨汁，3～5分。,【摘录】《中药大辞典》
芥蓝·《中华本草》,【拼音】Gài Lán,【别名】芥蓝菜、芥兰,【来源】药材基源：为十字花科植物芥蓝的根、茎、叶。,【性味】味甘；辛；性凉；,【功能主治】解毒利咽；顺气化痰；平喘。主风热感冒；咽喉痛；气喘；并能预防白喉,【用法用量】内服：煎汤，9-15g。,【摘录】《中华本草》
干贝·《中华本草》,【拼音】Gān Bèi,【别名】江瑶柱、扇贝柱,【来源】药材基源：为扇贝科动物栉孔扇贝、华贵栉孔扇贝和花鹊栉孔扇贝的闭壳肌。,【性味】味甘；咸；性微温,【功能主治】滋阴；养血；补肾；调中。主消渴；肾虚尿频；食欲不振,【用法用量】内服：煮食，10-25g。,【摘录】《中华本草》
大鹅儿肠·《中药大辞典》,【拼音】Dà é ér Chánɡ,【别名】黑牵牛、寸金草、老鹳精（《贵州民间方药集》），大种鹅儿肠、通经草（《贵阳民间药草》）。,【来源】为石竹科植物大繁缕的全草或根。夏、秋采收.,【性味】《贵阳民间药草》：“辛，平，无毒。”,【功能主治】理气，化湿，活血，止皿，消积，解毒。治胃痛，黄疸，大便下血，月经不调，小儿积食，疔疮。,【用法用量】内服：煎汤，2～5钱（鲜者1～2两）；研末或浸酒。外用：研末调敷或捣敷。,【摘录】《中药大辞典》
大苦草·《全国中草药汇编》,[],【别名】獐牙菜、黑节苦草、黑菊黄、走胆草、紫花青叶胆、蓑衣莲,【来源】龙胆科獐牙菜属植物双点獐牙菜Swertia bimaculata （Sieb. et Zucc.） Hook. f. et Thoms.，以全草入药。夏秋采全草，晒干。,【性味】苦，寒。,【功能主治】清热解毒，舒肝利胆。用于急慢性肝炎，胆囊炎，尿路感染，肠胃炎，感冒发热，流感，咽喉炎，牙痛。,【用法用量】3～5钱，水煎服。,【摘录】《全国中草药汇编》
大苦溜溜·《中药大辞典》,【拼音】Dà Kǔ Liū Liū,【别名】螺旋茄、百两金（《广西药植名录》），苦凉菜（《云南思茅中草药选》），帕笠（傣名）。,【来源】为茄科植物旋花茄的全株。夏、秋采集，切段晒干。,【性味】《云南思茅中草药选》：“苦，寒。”,【功能主治】①《广西药植名录》：“根：利尿；叶：止咳。”,【用法用量】内服：煎汤，3～5钱。外用：捣敷。,【摘录】《中药大辞典》
大木通·《中华本草》,【拼音】Dà Mù Tōnɡ,【别名】接骨丹、白头公公、黄藤通、丝瓜藤、小木通、线不通,【来源】药材基源：为毛茛科植物粗齿铁线莲的茎藤。,【性味】味微苦；性平,【功能主治】利尿；解毒；祛风湿。主小便不利；淋病；乳汁不通；疮疖肿毒；亦治风湿关节疼痛；肢体麻木,【用法用量】内服：煎汤，6-12g。外用：适量，捣敷；或煎汤洗。,【摘录】《中华本草》
大鲵·《全国中草药汇编》,【拼音】Dà Ní,【别名】娃娃鱼、海狗鱼、狗鱼,【来源】两栖纲有尾目大鲵科（隐鳃鲵科）大鲵Megalobatrachus davidianus Blanchard，以去掉内脏后的全体入药。,【性味】甘，平。,【功能主治】滋补，强壮。主治神经衰弱。,[],【摘录】《全国中草药汇编》
大酸浆草·《中华本草》,【拼音】Dà Suān Jiānɡ Cǎo,【别名】大酸酸、草麻黄、土麻黄、土大黄、川滇酸模,【来源】药材基源：为蓼科植物戟叶酸模的根或全草。,【性味】酸；涩；微辛；性温,【功能主治】发汗解表；祛风除湿；止咳；止血。主感冒；头痛；风湿关节痛；咳喘；跌打损伤；崩漏,【用法用量】内服：煎汤，15-30g；或泡酒。外用：适量，煎水熏洗；捣敷；或研末敷。,【摘录】《中华本草》
大蒜·《全国中草药汇编》,【拼音】Dà Suàn,【别名】胡蒜、葫、独头蒜、独蒜,【来源】药材基源：为百合科植物大蒜的鳞茎。,【性味与归经】辛，温。入胃、大肠经。,【功能主治】温中行滞；解毒；杀虫。主脘腹冷痛；痢疾；泄泻；肺痨；百日咳；感冒；痈疖肿毒；肠痈；癣疮；蛇虫咬伤；钩虫病；蛲虫病；带下阴痒；疟疾；喉痹；水肿,【用法用量】内服：煎汤，1.5-3钱；生食、煨食或捣泥为丸。外用：捣敷、作栓剂或切片灸。,【摘录】《中华本草》
大母猪藤·《全国中草药汇编》,【拼音】Dà Mǔ Zhū Ténɡ,【别名】野葡萄、绿叶扁担藤、稀果野葡萄、地五加、母猪藤。,【来源】药材基源：为葡萄科植物大叶乌蔹莓的根、叶。,【性味】微苦；平,【功能主治】祛风除湿；通经络；清热解毒。主牙痛；风湿关节炎；无名肿毒,【用法用量】内服：煎汤，15-30g，鲜品倍量；或浸酒、炖肉服。外用：适量，捣敷。,【摘录】《中华本草》
大夜关门·《全国中草药汇编》,【拼音】Dà Yè Guān Mén,【别名】关门草、羊蹄风、猪腰藤,【来源】药材基源：为豆科植物多脉叶羊蹄甲的叶。,【性味】甘、酸、苦；温,【功能主治】收敛固精。主脱肛及子宫脱垂,【用法用量】内服：煎汤，6-9g。外用：适量，研末调敷。,【摘录】《中华本草》
刀灰树·《全国中草药汇编》,【拼音】Dāo Huī Shù,【别名】剑叶灰木、甜茶、乌脚看、滑叶常山,【来源】药材基源：为山矾科植物光叶山矾的根或叶。,【性味】甘；性平,【功能主治】止血生肌；和肝健脾。主外伤出血；吐血；咯血；疮疖；疳积；眼结膜炎,【用法用量】内服：煎汤，30-60g。外用：适量，鲜品捣敷；或干品研末敷。,【摘录】《中华本草》
刀口药·《中药大辞典》,【拼音】Dāo Kǒu Yào,【别名】白胡子狼毒、大叶一枝箭,【来源】为菊科植物三花兔耳风的叶。夏、秋采叶，晒干或研粉备用。,【性味】辛微涩，平。,【功能主治】止血，生肌，收口。治刀伤出血，研末撒伤处。,[],【摘录】《中药大辞典》
地梗鼠尾·《全国中草药汇编》,【拼音】Dì Gěnɡ Shǔ Wěi,【别名】白补药、田芹菜,【来源】唇形科地梗鼠尾Salvia scapiformis Hance，以全草入药。,【性味】辛，平。,【功能主治】强筋壮骨，补虚益损。主治虚弱干瘦，头晕目眩。,【用法用量】全草1两，炖肉食。,【摘录】《全国中草药汇编》
地骨皮·《中国药典》,【拼音】Dì Gǔ Pí,【别名】杞根、地骨、地辅、地节、枸杞根、苟起根、枸杞根皮、山杞子根、甜齿牙根、红耳堕根、山枸杞根、狗奶子根皮、红榴根皮、狗地芽皮,【来源】药材基源：为茄科植物枸杞的根皮,【性味与归经】甘、淡，寒。入肺、肾经。,【功能主治】清虚热；泻肺火；凉血。主阴虚劳热；骨蒸盗汗；小儿疳积发热；肺热喘咳；吐血；衄血；尿血；消渴,【用法用量】内服：煎汤，9-15g；大剂量可用15-30g。,【摘录】《中华本草》
地瓜·《中药大辞典》,【拼音】Dì Guā,【别名】土瓜、凉瓜、凉薯、葛瓜、葛薯、土萝卜（《中国药植志》），草瓜茹（《陆川本草》），沙葛、地萝卜（江西《草药手册》）。,【来源】为豆科植物豆薯的块根。秋季采挖。,【性味】《陆川本草》：“甘，凉。”,【功能主治】生津止渴。,【用法用量】内服：生啖或煮食。,【摘录】《中药大辞典》
地牯牛·《全国中草药汇编》,【拼音】Dì Gǔ Niú,【别名】砂挼子、倒行狗子、睡虫、沙谷牛、沙牛、蚁狮、金沙牛、地拱、沙猫,【来源】药材基源：为蚁蛉科动物黄足蚁蛉的幼虫。,【性味】味辛；咸；性平；有毒,【功能主治】通淋；截疟；软坚消症；拔毒去腐。主砂淋；疟疾；疟母；腹腔症块；瘰疬结核；阴疽久溃不倒敛,【用法用量】内服：研末，1.5-5g（或3-10只）。外用：适量，捣敷或研末撒。,【摘录】《中华本草》
地瓜根·《中药大辞典》,【拼音】Dì Guā Gēn,[],【来源】药材基源：为桑科植物地瓜榕的根。,【性味】苦；涩；性凉,【功能主治】清热利湿；消肿止痛。主泄泻；痢疾；黄肿；风湿痹痛；遗精；自带；瘰疬；痔疮；牙痛；跌打伤痛,【用法用量】内服：煎汤，30-60g。,【摘录】《中华本草》
地毡草·《中药大辞典》,【拼音】Dì Zhān Cǎo,【别名】金雀梅、小毛毡苔、天地花、地红花。,【来源】药材基源：为茅膏菜科植物匙叶茅膏菜的全草。,【性味】淡；寒,【功能主治】清热利咽；凉血解毒。主感冒；肺痈；咳嗽；口渴；吐血；咯血；喉蛾；疔疮；淋病,【用法用量】内服：煎汤，鲜品15-30g。外用：适量，捣敷。,【摘录】《中华本草》
